昵称,wxid,微信号,描述
"小岚",wxid_bt8b8chojb6g22,,"购物类广告"
"AA+人事招聘",wxid_bvosdkoxh47p22,,"兼职类广告"
"NN",wxid_c92rbzzwb0px22,,"课程类广告"
"张嘉❤",wxid_cktabaj81rd122,Sunny9815613,"兼职类广告"
"芝麻汤源",wxid_coasieqatfgp22,,"拉人进群"
"NN",wxid_cqf5ku7s0xl212,ZzzRe_,"商品类广告"
"",wxid_crb2daebjeh522,,"拉广告进群"
"czzzzzzz",wxid_d26ed77b34ta22,,"兼职类广告"
"图灵",wxid_d4y7qqc9c0gj22,,"兼职类广告"
"Aneen",wxid_d8vt0w6nikeu12,een0019,"商品类广告"
"x",wxid_d8wx4yc6972c22,,"课程类广告"
"嗜睡",wxid_dfbv2hkrmpi122,,"通知群类广告"
"梦",wxid_e907cv717nqc22,Anyaax_,"微商"
"跟随黎明",wxid_ejlrv87vbwa022,,"课程类广告"
"长腿",wxid_eobpkzoteon722,,"课程类广告"
"阿西",wxid_eukrkt2dqwnr22,,"证书类广告"
"小段",wxid_fj4aiskw5dqm22,,"商品类广告"
"李爱玲",wxid_fmfvl0x51ezg22,k22712142,"金融类广告"
"苇草",wxid_fn3sq96b6mc822,,"商品类广告"
"3",wxid_fniqql48l0dv22,,"拉人进群"
"振兴",wxid_frq80vphpk0x22,,"课程类广告"
"天外来物",wxid_fxia3yddlii812,,"兼职类广告"
"遇见彩虹",wxid_gdvhhy10f5n822,,"证书类广告"
"任老师",wxid_ge2u3loir17v22,,"拉人进群"
"刷课的",wxid_ggj1wph3jrlm22,cl03041124cl,"课程类广告"
"天空（换群）",wxid_hk74l0fowrtx22,,"金融类广告"
"Holle",wxid_hk92kspeu7zj22,,"证书类广告"
"陈颖川",wxid_i4yqymwwzhad22,Chef19998,"账号类广告"
"小萱🐻",wxid_icc75kcfggtk12,,"课程类广告"
"大学表白墙",wxid_if05b0c8suqc12,,"兼职类广告"
"Serenity",wxid_iypywqf7estg12,,"兼职类广告"
".",wxid_jx9rfy5zo5e712,,"课程类广告"
"诚华",wxid_kks7h5zxaotx22,,"课程类广告"
"小书童",wxid_kqy2svdd35dl22,,"课程类广告"
"莫奈",wxid_l29ii75p3lo412,dzyxd184,"商品类广告"
"陆瑶",wxid_l706h2r1aeox22,,"商品类广告"
"花开富贵",wxid_lflkw9sv1pwo22,,"证书类广告"
"顾曦",wxid_ll745bk7vcjk12,,"兼职类广告"
"🎯 🎯",wxid_ly0tbc0oi72p22,,"课程类广告"
"百事可乐",wxid_m9w6zxcq57kt22,,"兼职类广告"
"合顺",wxid_mbqizgssonn412,,"课程类广告"
"体育在线",wxid_mgn92nkl2lsb22,,"课程类广告"
"努力吧",wxid_n17mglxpqed422,,"课程类广告"
"锦瑟",wxid_natzhcz3hj0022,,"课程类广告"
"罗老师",wxid_nc6gpipyrt1w22,,"拉人进群"
"小W老师",wxid_nqglj1v1geoa22,,"兼职类广告"
"您是要",wxid_nxg72y9m6n8e22,,"金融类广告"
"加油鸭",wxid_ovpxwfy2ujzg12,,"课程类广告"
"肚肚",wxid_pgiz95n8qd6g22,CC_quehdvx,"课程类广告"
"-膏冷小美.",wxid_pywg9se5didv22,,"商品类广告"
"张佳阳",wxid_qa5qh5garn522,M_7777_8888,"商品类广告"
"一生所爱",wxid_qfsyzfu0p3dr22,,"金融类广告"
"咖啡奶茶",wxid_qiib3bs2ex5322,,"金融类广告"
"温忬",wxid_qjt9koho8kdy22,,"色情类广告"
"小松",wxid_rmwqf6e2iyzm22,aabb_5151,"课程类广告"
"落花有意",wxid_rynpd13i86p12,,"课程类广告"
"🌊",wxid_s25xbf1zoslm19,,"证书类广告"
"方毅",wxid_s7md8yjlt7n812,,"色情类广告"
"小桃运",wxid_sav5e1h6tyon22,,"兼职类广告"
"倾盆大雨~",wxid_sfx5s1c8jnvz22,feifei1352679,"课程类广告"
"规划",wxid_shjgwkzx3rt712,,"课程类广告"
"Chaney学姐",wxid_shriklos9t1w22,,"课程类广告"
"同步助手",wxid_sjh7da6qq6q622,,"表白墙类广告"
"🦦",wxid_smp7m852t87829,,"兼职类广告"
"1",wxid_sohlogcazavc22,,"商品类广告"
"Crush",wxid_soyhszqe64hi22,,""
"Crush",wxid_soyhszqe64hi22 ,jun3358290,"商品类广告"
"呃呃呃",wxid_t30e6ixwnyhb22,qwert-0910-,"商品类广告"
"Ouyou",wxid_t3r63x1kuxp622,,"商品类广告"
"禾里",wxid_t6ibn4cil1p22,LiuHe_09,"红包类广告"
"源不郎",wxid_t6rhfvviotqm12,,"课程类广告"
"小通",wxid_tii6g1go8g2p22,,"课程类广告"
"达",wxid_ub79f5twwjbp22,achenxs01,"商品类广告"
"邹伟杰",wxid_udm90k0ez6hc22,,"金融类广告"
"曾Y",wxid_uhkxpbzv9qpt22,,"兼职类广告"
"西姐",wxid_um5yel1cyvv222,,"商品类广告"
"宝藏店",wxid_unknown,zhiwansheng,"商品类广告"
"姜",wxid_uw3zdrxdv17222,Y_3336,"商品类广告"
"九宫格",wxid_v42u7hdq2zs122,,"兼职类广告"
"柒",wxid_v6rg1g0yy7q622,,"商品类广告"
"云小冉",wxid_veahsbmhfy7i22,zmt10904,"商品类广告"
"图图",wxid_w1d88rvid87z22,,"兼职类广告"
"艾",wxid_wd5halna33b612,Ccbs050101,"商品类广告"
"虎牙妹妹",wxid_x8n9l4s2d3tr22,,"表白墙类广告"
"慧广州（可帮家长招聘老师）",wxid_xbr4o50r43xr22,,"兼职类广告"
"婷婷",wxid_xea3skl9cwwb22,Qihaoxiemao-888,"商品类广告"
"刮彩票中五百万",wxid_xlbpeltc9fqz22,,"兼职类广告"
"吕",wxid_xupzfmkjexbf12,,"课程类广告"
"镜花水月",wxid_xxzt63o7o7ih22,,"证书类广告"
"A",wxid_xz4hunv3nnxe22,Y-ZH_19,"色情类广告"
".°",wxid_y11oavyo5r9k21,,"商品类广告"
"Apple juice",wxid_yhvbp8m54usx22,,"商品类广告"
"海阔天空",wxid_yjqt0qdmcesb22,,"兼职类广告"
"康",wxid_ys46eso24bmv12,,"课程类广告"
"sunshine",wxid_yt8db18kh0yk22,,"兼职类广告"
"哈额咯破",wxid_yuwsbzzoip7l22,,"金融类广告"
"小太阳",wxid_z5w1j13f8non12,,"通知群类广告"
"小咕",wxid_z8i5qjakdj7222,,"兼职类广告"
"pyrojewei",wxid_zfr70r1dqude22,,"证书类广告"
"小志（招代理 换群）",wxid_zgtlxgpjo95n22,,"兼职类广告"
"张鑫",wxod_5szl8578x0x112,Cx2_1c,"微商"
"陈启",wxod_fbny1j1cmery22,sscz6632,"微商"
"张",y1changmeng,,"课程类广告"
